mean_fit_time,mean_test_rmse,mean_test_time,param_n_epochs,param_n_factors,params,rank_test_rmse,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,std_fit_time,std_test_rmse,std_test_time
597.5108061,1.000018591,3.07343297,100,100,"{'n_epochs': 100, 'n_factors': 100}",24,1.00073079,0.999001376,0.999308596,0.99777713,1.003275061,38.65182399,0.001880149,0.071824198
860.1189946,0.999152391,3.27177186,100,150,"{'n_epochs': 100, 'n_factors': 150}",21,1.00081373,0.997250589,0.99788822,0.997691518,1.002117896,4.860464853,0.001944397,0.265231976
1084.571779,0.999192895,3.325685549,100,200,"{'n_epochs': 100, 'n_factors': 200}",22,1.000608764,0.997765028,0.997933523,0.997441043,1.002216117,7.401549782,0.001888829,0.195215753
1309.492085,0.999383336,3.305604315,100,250,"{'n_epochs': 100, 'n_factors': 250}",23,1.000482061,0.997459162,0.998704101,0.998066038,1.002205317,3.149504974,0.001736079,0.03943182
1792.965168,1.000138999,3.259615993,100,300,"{'n_epochs': 100, 'n_factors': 300}",25,1.001408629,0.998738718,0.99916836,0.998552603,1.002826683,5.287786029,0.001688501,0.135182465
963.3043198,0.99621604,2.944177198,150,100,"{'n_epochs': 150, 'n_factors': 100}",17,0.998020104,0.994273679,0.995443613,0.995463986,0.997878817,6.128927371,0.001480167,0.08759376
1278.195934,0.9927673,3.083497763,150,150,"{'n_epochs': 150, 'n_factors': 150}",13,0.994104715,0.990492602,0.992232124,0.991570159,0.9954369,5.238624289,0.001778159,0.085929072
1615.449191,0.990560415,3.178169775,150,200,"{'n_epochs': 150, 'n_factors': 200}",8,0.991583464,0.989115516,0.989951614,0.989224106,0.992927374,8.786944993,0.001476023,0.185006146
1944.131618,0.989261571,3.343351555,150,250,"{'n_epochs': 150, 'n_factors': 250}",4,0.990631491,0.987500784,0.988443192,0.988132077,0.991600309,7.96450112,0.001574309,0.205079934
2665.157117,0.988158238,3.265723467,150,300,"{'n_epochs': 150, 'n_factors': 300}",1,0.989342195,0.98630198,0.987644718,0.987122111,0.990380184,10.94049433,0.001491426,0.142259617
1257.492224,0.997021996,3.004497051,200,100,"{'n_epochs': 200, 'n_factors': 100}",18,0.998113614,0.99599224,0.99670881,0.995772982,0.998522333,9.982383791,0.001110059,0.178108912
1686.216986,0.99321615,3.309856653,200,150,"{'n_epochs': 200, 'n_factors': 150}",14,0.99464438,0.991462685,0.99308438,0.992038313,0.994850991,17.80904594,0.001355865,0.24865898
2133.222986,0.990933059,3.102027416,200,200,"{'n_epochs': 200, 'n_factors': 200}",10,0.992130643,0.989044374,0.99038614,0.989453149,0.99365099,16.86853278,0.001724978,0.03249632
